Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MSAA,instance_005.txt,6,HV,0.0
MSAA,instance_005.txt,7,HV,0.0
MSAA,instance_005.txt,8,HV,0.0
MSAA,instance_005.txt,9,HV,0.0
MSAA,instance_005.txt,0,NHV,1.0
MSAA,instance_005.txt,1,NHV,1.0
MSAA,instance_005.txt,2,NHV,1.0
MSAA,instance_005.txt,3,NHV,1.0
MSAA,instance_005.txt,4,NHV,1.0
MSAA,instance_005.txt,5,NHV,1.0
MSAA,instance_005.txt,6,NHV,1.0
MSAA,instance_005.txt,7,NHV,1.0
MSAA,instance_005.txt,8,NHV,1.0
MSAA,instance_005.txt,9,NHV,1.0
MSAA,instance_006.txt,0,Time,217.7441439628601
MSAA,instance_006.txt,1,Time,230.03630423545837
MSAA,instance_006.txt,2,Time,220.51012086868286
MSAA,instance_006.txt,3,Time,223.40611052513123
MSAA,instance_006.txt,4,Time,227.89829635620117
MSAA,instance_006.txt,5,Time,226.0605285167694
MSAA,instance_006.txt,6,Time,226.66558980941772
MSAA,instance_006.txt,7,Time,218.6685769557953
MSAA,instance_006.txt,8,Time,222.88014769554138
MSAA,instance_006.txt,9,Time,226.42874479293823
MSAA,instance_006.txt,0,GD,3.4327149354389856
MSAA,instance_006.txt,1,GD,3.7060460748873876
MSAA,instance_006.txt,2,GD,2.94794586985029
MSAA,instance_006.txt,3,GD,2.9529079018395863
MSAA,instance_006.txt,4,GD,3.2154332007153528
MSAA,instance_006.txt,5,GD,3.2998750768299394
MSAA,instance_006.txt,6,GD,2.105872562537403
MSAA,instance_006.txt,7,GD,2.8112350242245197
MSAA,instance_006.txt,8,GD,2.757387979165595
MSAA,instance_006.txt,9,GD,2.806165205051606
MSAA,instance_006.txt,0,IGD,1.5226556365288664
MSAA,instance_006.txt,1,IGD,1.6145831726768642
MSAA,instance_006.txt,2,IGD,1.7673687765682062
MSAA,instance_006.txt,3,IGD,1.7457518113840693
MSAA,instance_006.txt,4,IGD,1.526820530820532
MSAA,instance_006.txt,5,IGD,1.917013497141822
MSAA,instance_006.txt,6,IGD,1.3585101711084138
MSAA,instance_006.txt,7,IGD,1.7804403356301037
MSAA,instance_006.txt,8,IGD,1.501389694661308
MSAA,instance_006.txt,9,IGD,1.6173998305909525
MSAA,instance_006.txt,0,EPSILON,1.95
MSAA,instance_006.txt,1,EPSILON,2.016827507752319
MSAA,instance_006.txt,2,EPSILON,2.127659574468085
MSAA,instance_006.txt,3,EPSILON,2.0932946115657987
MSAA,instance_006.txt,4,EPSILON,1.8157894736842106
MSAA,instance_006.txt,5,EPSILON,2.251913791072901
MSAA,instance_006.txt,6,EPSILON,1.8796466099492835
MSAA,instance_006.txt,7,EPSILON,1.8785160758450126
MSAA,instance_006.txt,8,EPSILON,1.95
MSAA,instance_006.txt,9,EPSILON,1.6835015191336393
MSAA,instance_006.txt,0,HV,2865.402050126765
MSAA,instance_006.txt,1,HV,2265.881161621379
MSAA,instance_006.txt,2,HV,3710.983820976516
MSAA,instance_006.txt,3,HV,3846.684283284043
MSAA,instance_006.txt,4,HV,3950.8350499494227
MSAA,instance_006.txt,5,HV,2348.3625001324017
MSAA,instance_006.txt,6,HV,3060.1309352787707
MSAA,instance_006.txt,7,HV,602.6872405011134
MSAA,instance_006.txt,8,HV,971.3226389919703
MSAA,instance_006.txt,9,HV,2375.551805844659
MSAA,instance_006.txt,0,NHV,0.8539138024407205
MSAA,instance_006.txt,1,NHV,0.8844790513750674
MSAA,instance_006.txt,2,NHV,0.8108036826502298
MSAA,instance_006.txt,3,NHV,0.8038852941662592
MSAA,instance_006.txt,4,NHV,0.7985753972621386
MSAA,instance_006.txt,5,NHV,0.8802739224256615
MSAA,instance_006.txt,6,NHV,0.8439859801354508
MSAA,instance_006.txt,7,NHV,0.9692733215995265
MSAA,instance_006.txt,8,NHV,0.9504792596461972
MSAA,instance_006.txt,9,NHV,0.8788877356999262
MSAA,instance_007.txt,0,Time,219.16188716888428
MSAA,instance_007.txt,1,Time,221.57021403312683
MSAA,instance_007.txt,2,Time,216.83168721199036
MSAA,instance_007.txt,3,Time,225.54870533943176
MSAA,instance_007.txt,4,Time,229.8935866355896
MSAA,instance_007.txt,5,Time,220.98474192619324
MSAA,instance_007.txt,6,Time,228.36822938919067
MSAA,instance_007.txt,7,Time,224.2861499786377
MSAA,instance_007.txt,8,Time,223.50954365730286
MSAA,instance_007.txt,9,Time,221.42808842658997
MSAA,instance_007.txt,0,GD,3.1433510160693596
MSAA,instance_007.txt,1,GD,3.9405965668854077
MSAA,instance_007.txt,2,GD,4.14414865957014
MSAA,instance_007.txt,3,GD,2.595641399197227
MSAA,instance_007.txt,4,GD,2.5780769607455514
MSAA,instance_007.txt,5,GD,3.8351080891961487
MSAA,instance_007.txt,6,GD,2.1620936312812176
MSAA,instance_007.txt,7,GD,3.0183173522766147
MSAA,instance_007.txt,8,GD,2.6461898234537125
MSAA,instance_007.txt,9,GD,2.5568536863939837
MSAA,instance_007.txt,0,IGD,2.4179772127243724
MSAA,instance_007.txt,1,IGD,2.780712908302602
MSAA,instance_007.txt,2,IGD,2.3679871694393557
MSAA,instance_007.txt,3,IGD,2.63852616456563
MSAA,instance_007.txt,4,IGD,2.367856349949783
MSAA,instance_007.txt,5,IGD,2.9292991528671393
MSAA,instance_007.txt,6,IGD,2.0500205301830947
MSAA,instance_007.txt,7,IGD,2.3451645602107094
MSAA,instance_007.txt,8,IGD,2.2636110667591085
MSAA,instance_007.txt,9,IGD,2.158429062906414
MSAA,instance_007.txt,0,EPSILON,1.9545454545454546
MSAA,instance_007.txt,1,EPSILON,2.0604122330750485
MSAA,instance_007.txt,2,EPSILON,1.866849119466921
MSAA,instance_007.txt,3,EPSILON,1.970628256745615
MSAA,instance_007.txt,4,EPSILON,1.9090909090909092
MSAA,instance_007.txt,5,EPSILON,2.030799079735308
MSAA,instance_007.txt,6,EPSILON,1.7058823529411764
MSAA,instance_007.txt,7,EPSILON,1.869228938600667
MSAA,instance_007.txt,8,EPSILON,1.7857142857142858
MSAA,instance_007.txt,9,EPSILON,1.7540456925273673
MSAA,instance_007.txt,0,HV,8000.548350287504
MSAA,instance_007.txt,1,HV,5536.554621848757
MSAA,instance_007.txt,2,HV,7334.3826460817
MSAA,instance_007.txt,3,HV,7243.3120081013585
MSAA,instance_007.txt,4,HV,6727.077397978232
MSAA,instance_007.txt,5,HV,4575.589385227797
MSAA,instance_007.txt,6,HV,8351.765585303909
MSAA,instance_007.txt,7,HV,7911.599691937526
MSAA,instance_007.txt,8,HV,7790.687462326725
MSAA,instance_007.txt,9,HV,5189.763291150091
MSAA,instance_007.txt,0,NHV,0.7664393503918807
MSAA,instance_007.txt,1,NHV,0.8383709169105438
MSAA,instance_007.txt,2,NHV,0.7858867792191019
MSAA,instance_007.txt,3,NHV,0.7885454116572335
